question_id,question_text,question_order,clone_type,n_clones,base_jaccard_mean,base_jaccard_median,base_jaccard_p10,base_spearman_mean,base_kendall_mean,any_rank_change_pct,n_changed_mean,avg_pos_moved_mean,max_pos_moved_mean,voter_nan_pct,candidate_nan_pct,candidate_var,voter_var,combined_var,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean,rank_jaccard,rank_spearman,rank_kendall,composite_rank,impact,crw_improvement_jaccard,voter_avg_abs_corr,candidate_avg_abs_corr
32214,"Do you support an increase in the retirement age (e.g., to 67)?",1,identical,4,0.657318298781259,0.6744186046511628,0.44,0.9518548363770024,0.8578522973519949,0.9911181525757358,1004.0980363915694,63.48335021614525,246.55408324931585,0.0088818474242642,0.0,1744.4002336899184,1565.973622315987,2731684.752720256,0.9905002752444704,1.0,0.945945945945946,0.9999814806907578,0.9982975160379572,1.0,1.0,1.0,1.0,0.342681701218741,0.33318197646321135,0.12297462921431605,0.2643870078907533
32234,"Should a third official gender be introduced alongside ""female"" and ""male""?",21,identical,4,0.7249628607939337,0.7560975609756098,0.44,0.9518900968522994,0.8723196289129169,0.9654088050314464,933.5949637524606,57.97818307724042,254.21890153151853,0.0345911949685534,0.0,1938.8085973689083,1859.966787424097,3606119.598278469,0.9999011695078162,1.0,1.0,0.9999995211394712,0.9999864460696212,12.0,2.0,3.0,5.666666666666667,0.2750371392060663,0.2749383087138825,0.2757488017852469,0.46627625758191055
32240,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",27,identical,4,0.72610479849212,0.7142857142857143,0.4693877551020408,0.951932120921946,0.8702198570649112,0.9860530990446011,941.896610494983,59.46449017663897,252.74101013010707,0.0139469009553987,0.0,2027.9241490926556,1459.807024239287,2960377.917469938,0.9990690769665428,1.0,1.0,0.9999978981747892,0.9998781421615957,13.0,3.0,2.0,6.0,0.27389520150788005,0.27296427847442284,0.24946790496654667,0.44334621579920913
32261,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",48,identical,4,0.7012796926363958,0.7560975609756098,0.3584905660377358,0.9554795527860352,0.8862404480062653,0.9599356666186568,923.3783426952806,53.11538054725878,276.05225886984493,0.0400643333813433,0.0,1961.5063924402448,1752.899212276625,3438323.0101840687,0.9998506379336748,1.0,1.0,0.9999990502604668,0.99997390642833,5.0,4.0,9.0,6.0,0.2987203073636042,0.298570945297279,0.19703604504743588,0.47149986045318426
32228,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",15,identical,4,0.7232094370697639,0.7560975609756098,0.44,0.9566452731489786,0.8796150876282133,0.9770992366412212,959.1456382927648,54.94470737960143,241.7488837678237,0.0229007633587786,0.0,1965.513484437688,1615.0417084387864,3174386.2558657154,0.9988417400426468,1.0,1.0,0.9999976172462296,0.9998184855515936,11.0,5.0,4.0,6.666666666666667,0.2767905629302361,0.2756323029728829,0.2729880450820805,0.47706611491421347
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,57,identical,4,0.6949376569861939,0.6744186046511628,0.4693877551020408,0.9645970897986824,0.8840342678470688,0.8808872245427048,887.2316721878151,50.896648077144064,195.5450813769264,0.1191127754572951,0.0,1684.755892351382,1313.5330116476375,2212982.4811714143,0.9994409429129748,1.0,1.0,0.9999983208537306,0.9999063519974324,4.0,12.0,5.0,7.0,0.3050623430138061,0.3045032859267809,0.14353439400181695,0.34945396098070214
32232,Should cannabis use be legalized? [BePart question],19,identical,4,0.7054893193805644,0.7142857142857143,0.44,0.961936094317088,0.886232409125298,0.9770992366412212,987.9415958519372,51.57681366820509,287.3579624561909,0.0229007633587786,0.0,1479.316504255955,1430.7669514010604,2116557.164951566,0.9998477916911476,1.0,1.0,0.9999994932775028,0.9999857642792735,6.0,8.0,8.0,7.333333333333333,0.29451068061943564,0.2943584723105832,0.14474785706068255,0.2554900227000283
32238,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],25,identical,4,0.7227937052523384,0.7560975609756098,0.44,0.9595404731515064,0.8854848039064495,0.9592395218205386,939.8741418214988,51.7376006979131,250.6001968409429,0.0407604781794613,0.0,1903.833100777832,1642.938569325225,3127880.8308259384,0.9998441500977188,1.0,1.0,0.999999119844268,0.999974294207369,10.0,7.0,7.0,8.0,0.27720629474766156,0.27705044484538033,0.23952054664687655,0.47941773847152747
32222,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",9,identical,4,0.6928260418476765,0.7142857142857143,0.44,0.9668737496584798,0.8888198841898008,0.9730183878246677,981.3457679197272,49.13661859742628,257.7906524557108,0.0269816121753324,0.0,1469.619601592722,1354.0232536577407,1989899.1145877696,0.9961480593719046,1.0,1.0,0.9999941402886308,0.9994275269420984,3.0,14.0,10.0,9.0,0.3071739581523235,0.30332201752422816,0.15207815798372196,0.36860984216925907
32231,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,18,identical,4,0.7445826224751692,0.7560975609756098,0.4693877551020408,0.9581421836851184,0.8847713589165461,0.9881175284459168,965.574199433482,52.957167300711085,272.11327956214893,0.0118824715540832,0.0,2005.5123216601817,1700.4910225807082,3410355.6986581325,0.9997583740770744,1.0,1.0,0.9999990349602316,0.9999520264135942,17.0,6.0,6.0,9.666666666666666,0.25541737752483085,0.2551757516019052,0.25482789363912434,0.4713408642942705
