question_a,question_b,voter_abs_r,candidate_abs_r,difference_abs_r
32214,32215,0.2531021815799429,0.40565409578935685,0.37578222945559475
32214,32216,0.0484139860006689,0.14387898424005466,0.1459232973806485
32214,32217,0.4218845035448406,0.5860109384523383,0.5120460145573962
32214,32218,0.1372063286745606,0.299474931655424,0.2032176478106646
32214,32219,0.2339059814104666,0.48841929888177105,0.4114821145533144
32214,32220,0.05281645168234883,0.20439140518561177,0.10388503130054873
32214,32221,0.017953875090955303,0.1676797284329794,0.12144245625527769
32214,32222,0.288670536358863,0.5331530785882456,0.4413625923720061
32214,32223,0.024880509725942527,0.14221535259807228,0.05364707031233735
32214,32224,0.013203606861094898,0.08237177154395514,0.0012671824384204245
32214,32225,0.11017499813360705,0.34443094645534184,0.26120921081330467
32214,32226,0.17660597978467638,0.24318563151160202,0.24342491341248607
32214,32227,0.13432839938483943,0.33719012457623726,0.28824945364849397
32214,32228,0.09085731465538163,0.20221626435473317,0.17260447990112893
32214,32229,0.05742870205673536,0.05429491834847102,0.05134094383176352
32214,32230,0.12201584377944774,0.2248333378144161,0.1800995011737747
32214,32231,0.08512887585860468,0.21434774917865265,0.13394092345974007
32214,32232,0.034180343906491294,0.06622039046421713,0.10430110339634552
32214,32233,0.010614576050925207,0.07044286661582937,0.01972259994053663
32214,32234,0.09379887611149139,0.24519358874224,0.19580884308794125
32214,32235,0.012090568863922919,0.02806474476006876,0.010769655312431044
32214,32236,0.030391795474343807,0.3066334786995611,0.1536564645302
32214,32237,0.03708372808971627,0.048153952448046586,0.051306547811314225
32214,32238,0.12959568891053164,0.37886353705789233,0.33613102936980527
32214,32239,0.1761810535968452,0.36099127231934935,0.29932265910857797
32214,32240,0.2876108044245374,0.5203479627393427,0.4851968463620528
32214,32241,0.20875389813990203,0.3368720347921503,0.34249664313006395
32214,32242,0.12452041563695718,0.4849337245781058,0.26613536777580277
32214,32243,0.19619135881551175,0.50207279015886,0.4085229766029644
32214,32244,0.24277666795994138,0.3681565126741925,0.3638202355933885
32214,32245,0.07979327264152584,0.28178877134920727,0.21764472555100547
32214,32246,0.020149784625954903,0.26161159263798345,0.13620142564690949
32214,32247,0.05098717781260064,0.40202009292276375,0.24722070388980366
32214,32248,0.12371690474053489,0.28849339948794595,0.27312141573203036
32214,32249,0.23448641921645927,0.28142650537118286,0.30538434406810017
32214,32250,0.15964715641309696,0.3495243107829255,0.28773167459171967
32214,32251,0.01678574251229015,0.061022187589934294,0.06592029567625148
32214,32252,0.11329977133121977,0.2213237754388428,0.18819280588251125
32214,32253,0.04320337138109009,0.23591188955494904,0.22101472767455274
32214,32254,0.13952887369945344,0.2674406404077777,0.2429624651258007
32214,32255,0.16818874921445268,0.2620774128244864,0.26521370865563393
32214,32256,0.11279717842528127,0.31650447731820464,0.2526154193702886
32214,32257,0.16968282645960595,0.2744035148999503,0.23838963661858845
32214,32258,0.15296118411156362,0.2296742660528072,0.2488449292257641
32214,32259,0.006043232094248657,0.05187704916624439,0.019964310198069664
32214,32260,0.08318510547819352,0.26226215542381964,0.26382248632863975
32214,32261,0.011714145643179939,0.2085554530350454,0.1292851997426877
32214,32262,0.08464450599328549,0.22064161839206084,0.1372446019476092
32214,32263,0.08992724787355254,0.20831344479102895,0.033409491126372294
32214,32264,0.15973623887679853,0.27615254092068975,0.15460399778510145
32214,32265,0.17989981117187578,0.33629508234369826,0.261129542112443
32214,32266,0.15488594934106276,0.1723757595308728,0.19421579717305038
32214,32267,0.10565650603741993,0.1963416974748608,0.19938205230527337
32214,32268,0.04596482804332287,0.027436922008334984,0.0364748859061512
32214,32269,0.04134250439287569,0.045346322165478764,0.013924928040283734
32214,32270,0.2344878031858698,0.48627167352840966,0.3589484391054628
32214,32271,0.2287308019441676,0.30686873379375607,0.28537717036771604
32214,32272,0.017125158197004112,0.02795216987977222,0.016609459288524638
32214,32273,0.0652700593354401,0.04997106265924852,0.009302088376142034
32214,32274,0.09290151702158664,0.23526819040966185,0.18475917423239324
32214,32275,0.29920813948009906,0.5472612109709518,0.442261442007445
32214,32276,0.19348387605963113,0.41023197872560785,0.32771726556799946
32214,32277,0.06441411745278468,0.08372368012713922,0.037623222438967104
32214,32278,0.20032116983853088,0.30105263157900103,0.3244766187000521
32214,32279,0.02831648009418503,0.19800579520365302,0.13200447191038575
32214,32280,0.13217325800737875,0.3362342263811004,0.24324343147672686
32214,32281,0.28693279393434595,0.4901425412601101,0.3785705901286714
32214,32282,0.07483366423252139,0.1956945640717667,0.07058853756032386
32214,32283,0.17871157322268236,0.3113741331602368,0.21391474785251302
32214,32284,0.10645787174364951,0.34618420546446654,0.23238118277087147
32214,32285,0.07277459811173588,0.2558402050539161,0.20706776560845785
32214,32286,0.05795151156511549,0.16658203543061412,0.07951754988161974
32214,32287,0.20580632090830928,0.35905433595370995,0.2714250730892271
32214,32288,0.15962550942931303,0.327408914714409,0.28789063994037384
32215,32216,0.054944629851170775,0.1845478777052176,0.1734430930899839
32215,32217,0.3107621008398882,0.37907780930424123,0.35923556510174326
32215,32218,0.40923670399184886,0.7020621388986396,0.607582862509159
32215,32219,0.5230902377421929,0.7405522234290705,0.6918324072957138
32215,32220,0.08320615956331452,0.31110092710874915,0.17735986731794345
32215,32221,0.17784419275988672,0.4481330618754544,0.32375056547984343
32215,32222,0.35497928982844695,0.569835794338295,0.5363709440058083
32215,32223,0.09675551411760283,0.566181002617669,0.38430951721065354
32215,32224,0.10072175074304744,0.4569277693572128,0.2827629401832077
32215,32225,0.2582441128879567,0.5335515594400758,0.43332082423768037
32215,32226,0.187591310017825,0.4922040991249082,0.34518721857753404
32215,32227,0.4050192011395829,0.611208116036057,0.5595222409502119
32215,32228,0.3600377815916638,0.5497122389216136,0.4739067407086434
32215,32229,0.1895459404044898,0.30099754891109315,0.22664016413590463
32215,32230,0.32371259065325475,0.6548673146888506,0.47781359059362966
32215,32231,0.34749843922989704,0.5738426610195941,0.46117750684680425
32215,32232,0.16633934292883612,0.20501998470067886,0.28179302268365974
32215,32233,0.04147520478857999,0.04892379714187512,0.08064020723655514
32215,32234,0.34433827973181996,0.545395173590212,0.4841175005459496
32215,32235,0.19105688527385797,0.2516725306224573,0.1812611914327099
32215,32236,0.10263446858547443,0.6734208069549107,0.46563248507380983
32215,32237,0.03467672080121012,0.0020331203254942707,0.000347596412313279
32215,32238,0.3284159378049026,0.6770003544961443,0.5934451598858383
32215,32239,0.297627867538886,0.6581385928382519,0.49015517809929005
32215,32240,0.43619146927538804,0.6255130230350535,0.584128074810143
32215,32241,0.29775557665211316,0.6515432889530155,0.48022508137545666
32215,32242,0.16609709331737735,0.5096793801214294,0.34346183092663046
32215,32243,0.16268924305595986,0.4978945017521625,0.35414103568343647
32215,32244,0.4146139331157241,0.7134382652204238,0.5865690599669724
32215,32245,0.22793873209291116,0.6374935086990785,0.46626518019950736
32215,32246,0.2543554175257423,0.6299325955863891,0.45871720167044316
