question_id,question_text,base_jaccard,base_spearman,base_kendall,optimal_alpha,crw_jaccard,crw_spearman,crw_kendall,improvement_jaccard,improvement_spearman,improvement_kendall,alpha_95_lo,alpha_95_hi,alpha_95_width,clone_type
32238,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],0.7227937052523384,0.9595404731515064,0.8854848039064495,0.3,0.8946656111102396,0.9968852448431345,0.9703594328834452,0.17187190585790113,0.03734477169162809,0.08487462897699571,0.2,0.4,0.2,negation_easy
32267,Should automatic facial recognition be banned in public spaces?,0.6850831207868583,0.969651720442246,0.8988947048719002,0.3,0.8483186841924367,0.996153549947646,0.9662847943409428,0.16323556340557843,0.026501829505400032,0.06739008946904268,0.3,0.5,0.2,easy_paraphrase
32246,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.7368509131764932,0.9623118495757308,0.8920546820178228,0.3,0.8995129013306985,0.99682914871997,0.97083767100543,0.1626619881542053,0.03451729914423918,0.07878298898760716,0.2,0.4,0.2,negation_easy
32252,"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",0.7089547031797143,0.9722984148760024,0.9023538127226762,0.4,0.870062957731301,0.9965972143662268,0.9679416342955268,0.16110825455158673,0.0242987994902244,0.06558782157285059,0.3,0.5,0.2,easy_paraphrase
32214,"Do you support an increase in the retirement age (e.g., to 67)?",0.657318298781259,0.9518548363770024,0.8578522973519949,0.3,0.8177831738901193,0.9926337266390056,0.9484403050215678,0.16046487510886032,0.04077889026200321,0.09058800766957298,0.3,0.4,0.10000000000000003,easy_paraphrase
32267,Should automatic facial recognition be banned in public spaces?,0.6850831207868583,0.969651720442246,0.8988947048719002,0.4,0.8394283103159795,0.9955956724548356,0.9637054694441822,0.15434518952912124,0.02594395201258959,0.06481076457228208,0.3,0.6,0.3,negation_easy
32252,"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",0.7089547031797143,0.9722984148760024,0.9023538127226762,0.4,0.8627068492446134,0.9961346675841384,0.965693304315748,0.15375214606489906,0.02383625270813594,0.06333949159307173,0.3,0.5,0.2,negation_easy
32246,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.7368509131764932,0.9623118495757308,0.8920546820178228,0.3,0.8899183734045576,0.9961674542445336,0.9677419293611365,0.1530674602280644,0.033855604668802775,0.07568724734331367,0.2,0.4,0.2,easy_paraphrase
32232,Should cannabis use be legalized? [BePart question],0.7054893193805644,0.961936094317088,0.886232409125298,0.4,0.8564489404529476,0.9952211481215324,0.9622370880149004,0.15095962107238325,0.03328505380444435,0.07600467888960238,0.3,0.5,0.2,easy_paraphrase
32252,"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",0.7089547031797143,0.9722984148760024,0.9023538127226762,0.4,0.8564994984820109,0.9957011609485512,0.9637084023862552,0.14754479530229658,0.023402746072548775,0.061354589663578984,0.3,0.5,0.2,hard_paraphrase
32221,Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,0.7845968986419858,0.9805969650702546,0.9237556102143546,0.4,0.9313177013280922,0.9991755033462216,0.9848315555851088,0.14672080268610643,0.018578538275967005,0.061075945370754225,0.2,0.5,0.3,easy_paraphrase
32270,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.6949376569861939,0.9645970897986824,0.8840342678470688,0.3,0.8416461075094136,0.994453336137194,0.9572211740396848,0.14670845052321968,0.029856246338511583,0.07318690619261592,0.2,0.4,0.2,negation_easy
32261,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.7012796926363958,0.9554795527860352,0.8862404480062653,0.3,0.8464666358944871,0.993630738834784,0.9592532516675326,0.14518694325809134,0.038151186048748786,0.07301280366126728,0.3,0.4,0.10000000000000003,easy_paraphrase
