question_id,question_text,category,group,mds_x,mds_y
32214,"Do you support an increase in the retirement age (e.g., to 67)?",Welfare state & family,mini,-0.273346270638025,-1.167650180449191
32215,Should the federal government allocate more funding for health insurance premium subsidies?,Welfare state & family,mini,-0.1537199580751636,-0.7938064973395653
32216,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Welfare state & family,maxi,1.1177961250578239,0.6375606223075009
32217,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Welfare state & family,maxi,0.03865338284275225,-1.1519648493672863
32218,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Welfare state & family,maxi,0.07113531231122508,-0.4136061292954076
32219,Should the federal government provide more financial support for public housing construction? [BePart question],Welfare state & family,mini,-0.3568475957206748,-0.41174999351031283
32220,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Health,maxi,0.18912226362556275,1.1916820774870096
32221,Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,Health,maxi,0.6645602162280935,0.22289992661066949
32222,"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",Health,mini,-0.13463425700294746,-1.0842995214901099
32223,Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Health,mini,-0.4887743324825052,1.0537899367754313
32224,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Health,maxi,0.6638582264556723,0.836130828222113
32225,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Education,maxi,0.19737863567009067,-0.8660501652825359
32226,Should the federal government raise the requirements for the gymnasiale matura?,Education,maxi,0.945486623889669,-0.5121119411673035
32227,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Education,mini,0.06417080691999642,-0.2752614326503863
32228,"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Immigration & integration,mini,0.03900104163452986,0.264903345061317
32229,Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Immigration & integration,maxi,-0.6295071356427806,0.8120384945219881
32230,Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Immigration & integration,mini,-0.6197540620872609,0.1999210437979497
32231,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Immigration & integration,mini,0.021325274567002922,0.11053447375564328
32232,Should cannabis use be legalized? [BePart question],Society & ethics,mini,0.8965213295892587,-0.03676200931163901
32233,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Society & ethics,maxi,1.139067684937897,-0.11923768755652502
32234,"Should a third official gender be introduced alongside ""female"" and ""male""?",Society & ethics,mini,-0.3155448949742899,0.13775748058882648
32235,Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,Society & ethics,maxi,-1.02733063466915,0.07929606865523706
32236,Do you support tax cuts at the federal level over the next four years?,Finances & taxes,mini,-0.44977982325516025,0.9314105337893929
32237,Should married couples be taxed separately (individual taxation)? [BePart question],Finances & taxes,maxi,1.1889287392713552,0.07503585492277004
32238,Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Finances & taxes,mini,-0.8431180781987907,-0.17502005919289632
32239,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,Finances & taxes,maxi,0.6152611656209288,-0.3364510873108523
32240,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Economy & labour,mini,-0.32129456369450726,-0.7530563687329358
32241,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Economy & labour,mini,-0.6694190824384011,-0.7804749476386448
32242,Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Economy & labour,maxi,-1.0189407022462214,-0.6500218755350098
32243,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Economy & labour,maxi,0.29896662133775415,-1.0894963620096705
32244,Are you in favor of stricter controls on equal pay for women and men?,Economy & labour,mini,-0.43717562993308595,-0.6195796085194147
32245,Should busy sections of highways be widened?,Energy & transport,mini,-0.5259881113231322,0.35906481088955733
32246,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Energy & transport,mini,-0.05198910895202177,0.4524211145559044
32247,"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Energy & transport,maxi,-0.31982389233347125,0.6039672342105099
32248,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,Energy & transport,maxi,0.731703971983611,-0.9887801790037898
32249,Should the construction of new nuclear power plants in Switzerland be allowed again?,Energy & transport,mini,-0.7558778741532804,-0.5599915475738236
