ID_question,Weight,Question
3479,0.7888327547436366,"Should the federal government spend more or less in the area of ""Agriculture""?"
3474,0.800283015846817,"Should the federal government spend more or less in the area of ""Public security""?"
3472,0.8336709052472308,"Should the federal government spend more or less in the area of ""Development assistance""?"
3473,0.8337329015026498,"Should the federal government spend more or less in the area of ""National defence""?"
3476,0.8531160789783759,"Should the federal government spend more or less in the area of ""Social services""?"
3478,0.8774567813179567,"Should the federal government spend more or less in the area of ""Public transport""?"
3477,0.8934748436693929,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?"
3475,0.8945575970467137,"Should the federal government spend more or less in the area of ""Education and research""?"
3456,0.9504929600739292,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?
3457,0.9504929600739292,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?
3438,0.9603540425852776,Should married couples be taxed separately (individual taxation)?
3432,0.9603540425852776,Should same-sex couples have the same rights as heterosexual couples in all areas?
3437,0.9679527920775759,Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?
3463,0.9701361073277561,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?
3460,0.9709748540540762,Are you in favour of lowering the voting age to 16?
3412,0.9709748540540762,Do you support an increase in the retirement age (e.g. to 67)?
3417,0.9778979367032314,Should the federal government provide more support for the construction of non-profit housing? 
3422,0.9790643357595092,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?
3416,0.9793264669317474,Do you support cantonal efforts to reduce social welfare benefits?
3413,0.9807973308817879,Should the federal government provide more financial support for the creation of childcare facilities outside the family?
3391,0.9871693963760285,Should the federal government provide more support for the integration of foreigners?
3466,0.9883606009066677,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks."""
3421,0.9886797529750004,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?
3471,0.9887098645201097,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? 
3470,0.996243678637721,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?
3448,0.996243678637721,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?
3389,1.0011621470267946,"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare."""
3439,1.0113279193820468,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?
3387,1.0114299335930645,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""."""
3467,1.014121303383058,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth."""
3469,1.0184621529708817,Should Switzerland strive for a free trade agreement with the USA?
3399,1.0215653097698216,"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state."""
3435,1.0216539784309921,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?
3465,1.0241434038230193,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term."""
3441,1.0243826735151549,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?
3443,1.0243826735151549,Are you in favour of a complete liberalisation of business hours for shops?
3450,1.024690463373583,Should the federal government provide more support for renewable energies?
3468,1.0269938088685793,Should Switzerland start membership negotiations with the EU?
3458,1.0275179692717389,Should campaign finance for political parties and referendums be openly declared?
3459,1.0275179692717389,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?
3414,1.0306123184078544,An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?
3398,1.031696079725648,"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?"
3430,1.0371626279686215,Are you in favor of further tightening the asylum law?
3429,1.0377206861428123,Should sans-papiers be able to obtain a regularized residence status more easily?
3431,1.0377206861428123,Should the requirements for naturalization be increased?
3388,1.0397810288255738,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society."""
3464,1.0402277356233456,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? 
3462,1.0402277356233456,Should the export of war materials from Switzerland be banned? 
3423,1.0402277356233456,Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?
3434,1.0402277356233456,Are you in favour of stricter monitoring of pay equity for women and men? 
3418,1.0402277356233456,Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?
3419,1.0402277356233456,Would you support the introduction of an opt-out solution of for organ donation?
3415,1.0402277356233456,Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?
3392,1.0402277356233456,Should cannabis use be legalized?
3420,1.0402277356233456,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?
3461,1.0402277356233456,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?
3426,1.0402277356233456,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?"
3425,1.0402277356233456,Should the federal government expand its financial support for continued education and retraining?
3436,1.0402277356233456,"In your opinion, is lowering taxes at the federal level a priority for the next four years?"
3440,1.0402277356233456,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?
3428,1.0402277356233456,Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?
3444,1.0402277356233456,Should the protection against dismissal for older employees be extended?
3445,1.0402277356233456,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?"
3446,1.0402277356233456,Should the expansion of the mobile network according to the 5G standard continue?
3447,1.0402277356233456,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?"
3427,1.0402277356233456,Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?
3449,1.0402277356233456,"Currently, a CO2 charge is levied on fossil combustibles (e.g. heating oil, natural gas). Should this charge be extended to motor fuels (e.g. petrol, diesel)?"
3451,1.0402277356233456,Should high traffic motorways be expanded to six lanes?
