ID1,ID2,Qu1,Qu2,ANSWER-CORRELATION,E5-INSTRUCT
32214,32215,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government allocate more funding for health insurance premium subsidies?,0.2531021815799429,0.3847206980234763
32214,32216,"Do you support an increase in the retirement age (e.g., to 67)?","For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",0.04841398600066882,0.331758634062513
32214,32217,"Do you support an increase in the retirement age (e.g., to 67)?","As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",0.42188450354484064,0.35712975409858
32214,32218,"Do you support an increase in the retirement age (e.g., to 67)?",Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],0.13720632867456062,0.3493153278525079
32214,32219,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government provide more financial support for public housing construction? [BePart question],0.2339059814104666,0.4241584861481142
32214,32220,"Do you support an increase in the retirement age (e.g., to 67)?",Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,0.05281645168234883,0.4872136766841083
32214,32221,"Do you support an increase in the retirement age (e.g., to 67)?",Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,0.01795387509095525,0.4358501661318941
32214,32222,"Do you support an increase in the retirement age (e.g., to 67)?","Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",0.288670536358863,0.3815273589277073
32214,32223,"Do you support an increase in the retirement age (e.g., to 67)?",Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,0.02488050972594258,0.4871675531538263
32214,32224,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,0.013203606861094785,0.4498224596959196
32214,32225,"Do you support an increase in the retirement age (e.g., to 67)?","According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",0.1101749981336071,0.4758331470967923
32214,32226,"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government raise the requirements for the gymnasiale matura?,0.1766059797846764,0.4279514267177535
